title,artist,rank,genre
Alone,I Prevail,100,rock
Thunder,Imagine Dragons,1,rock
Feel It Still,Portugal. The Man,2,rock
Believer,Imagine Dragons,3,rock
Whatever It Takes,Imagine Dragons,4,rock
Natural,Imagine Dragons,5,rock
Sit Next To Me,Foster The People,6,rock
Broken,lovelytheband,7,rock
Zombie,Bad Wolves,8,rock
High Hopes,Panic! At The Disco,9,rock
Africa,Weezer,10,rock
No Roots,Alice Merton,11,rock
Say Amen (Saturday Night),Panic! At The Disco,12,rock
One Foot,WALK THE MOON,13,rock
New Light,John Mayer,14,rock
Jumpsuit,twenty one pilots,15,rock
Gone Away,Five Finger Death Punch,16,rock
Bulletproof,Godsmack,17,rock
Walk On Water,Thirty Seconds To Mars,18,rock
Live In The Moment,Portugal. The Man,19,rock
Rx (Medicate),Theory Of A Deadman,20,rock
Nico And The Niners,twenty one pilots,21,rock
My Blood,twenty one pilots,22,rock
I Feel Like I'm Drowning,Two Feet,23,rock
Devil,Shinedown,24,rock
Thought Contagion,Muse,25,rock
Sham Pain,Five Finger Death Punch,26,rock
Up All Night,Beck,27,rock
Hunger,Florence + The Machine,28,rock
Hold Me Tight Or Don't,Fall Out Boy,29,rock
Saturday Sun,Vance Joy,30,rock
Bohemian Rhapsody,Queen,31,rock
Red Cold River,Breaking Benjamin,32,rock
You Worry Me,Nathaniel Rateliff & The Night Sweats,33,rock
When The Curtain Falls,Greta Van Fleet,34,rock
"Hey Look Ma, I Made It",Panic! At The Disco,35,rock
&Run,Sir Sly,36,rock
Dangerous Night,Thirty Seconds To Mars,37,rock
Hear Me Now,Bad Wolves Featuring DIAMANTE,38,rock
Shotgun,George Ezra,39,rock
Next To Me,Imagine Dragons,40,rock
Quarter Past Midnight,Bastille,41,rock
Ghost,Badflower,42,rock
Thunder/Young Dumb & Broke (Medley),Imagine Dragons + Khalid,43,rock
Gold Rush,Death Cab For Cutie,44,rock
The Mountain,Three Days Grace,45,rock
Blue On Black,"Five Finger Death Punch Featuring Kenny Wayne Shepherd, Brantley Gilbert & Brian May",46,rock
Kamikaze,WALK THE MOON,47,rock
Blood // Water,grandson,48,rock
Confidence,Sanctus Real,49,rock
Rats,Ghost,50,rock
World Gone Mad,Bastille,51,rock
Humility,Gorillaz Featuring George Benson,52,rock
Are You Ready,Disturbed,53,rock
Wish I Knew You,The Revivalists,54,rock
Guiding Light,Mumford & Sons,55,rock
All My Friends,The Revivalists,56,rock
Born For Greatness,Papa Roach,57,rock
The Sky Is A Neighborhood,Foo Fighters,58,rock
Run For Cover,The Killers,59,rock
(Fuck A) Silver Lining,Panic! At The Disco,60,rock
Safari Song,Greta Van Fleet,61,rock
You're Somebody Else,flora cash,62,rock
Where's My Love,SYML,63,rock
Miracle,CHVRCHES,64,rock
Hurt Somebody,Noah Kahan & Julia Michaels,65,rock
She's Kerosene,The Interrupters,66,rock
Levitate,twenty one pilots,67,rock
We Will Rock You,Queen,68,rock
Wild Love,James Bay,69,rock
Roaring 20s,Panic! At The Disco,70,rock
Come Together,Gary Clark Jr.,71,rock
King Of The Clouds,Panic! At The Disco,72,rock
Happy Hour,Weezer,73,rock
Walking On Water,NEEDTOBREATHE,74,rock
Another One Bites The Dust,Queen,75,rock
Lay It On Me,Vance Joy,76,rock
The Gold,Manchester Orchestra,77,rock
I Only Lie When I Love You,Royal Blood,78,rock
Waking Lions,Pop Evil,79,rock
