title,artist,rank,genre,year
Revolution,Diplo Featuring Faustix & Imanos & Kai,76,pop,2014
Freak,"Steve Aoki, Diplo & Deorro Featuring Steve Bays",77,pop,2014
Enjoy The Ride,Krewella,78,pop,2014
Nobody To Love,Sigma,79,pop,2014
Legacy,Nicky Romero VS Krewella,80,pop,2014
Bird Machine,DJ Snake Featuring Alesia,81,pop,2014
Tremor (Sensation 2014 Anthem),Dimitri Vegas & Martin Garrix & Like Mike,82,pop,2014
Strangers,Seven Lions With Myon & Shane 54 Featuring Tove Lo,83,pop,2014
Go!,Grimes Featuring Blood Diamond,84,pop,2014
Try It Out,Skrillex With Alvin Risk,85,pop,2014
Gecko (Overdrive),Oliver Heldens X Becky Hill,86,pop,2014
Papaoutai,Stromae,87,pop,2014
Open Wide,Calvin Harris Featuring Big Sean,88,pop,2014
Wasted Love,Steve Angello Featuring Dougy,89,pop,2014
Tommy's Theme,Noisia,90,pop,2014
Into The Blue,Kylie Minogue,91,pop,2014
Say My Name,ODESZA Featuring Zyra,92,pop,2014
F For You,Disclosure Featuring Mary J. Blige,93,pop,2014
Earthquake,DJ Fresh Vs. Diplo Featuring Dominique Young Unique,94,pop,2014
Lie To Me,Cole Plante With Myon & Shane 54 Featuring Koko LaRoo,95,pop,2014
Y.A.L.A.,M.I.A.,96,pop,2014
Surrender,Cash Cash,97,pop,2014
Take Me Away,Rokelle Featuring Dave Aude,98,pop,2014
Just Girly Things,Dawin,99,pop,2014
Higher,Deborah Cox Featuring Paige,100,pop,2014
Lean On,Major Lazer & DJ Snake Featuring MO,1,pop,2015
Where Are U Now,Skrillex & Diplo With Justin Bieber,2,pop,2015
Hey Mama,"David Guetta Featuring Nicki Minaj, Bebe Rexha & Afrojack",3,pop,2015
You Know You Like It,DJ Snake & AlunaGeorge,4,pop,2015
Waves,Mr. Probz,5,pop,2015
Outside,Calvin Harris Featuring Ellie Goulding,6,pop,2015
Prayer In C,Lillywood & Robin Schulz,7,pop,2015
Blame,Calvin Harris Featuring John Newman,8,pop,2015
How Deep Is Your Love,Calvin Harris & Disciples,9,pop,2015
I Want You To Know,Zedd Featuring Selena Gomez,10,pop,2015
Rather Be,Clean Bandit Featuring Jess Glynne,11,pop,2015
Heroes (We Could Be),Alesso Featuring Tove Lo,12,pop,2015
Break Free,Ariana Grande Featuring Zedd,13,pop,2015
Beautiful Now,Zedd Featuring Jon Bellion,14,pop,2015
Hold My Hand,Jess Glynne,15,pop,2015
Dangerous,David Guetta Featuring Sam Martin,16,pop,2015
Five More Hours,Deorro & Chris Brown,17,pop,2015
A Sky Full Of Stars,Coldplay,18,pop,2015
Omen,Disclosure Featuring Sam Smith,19,pop,2015
Stole The Show,Kygo Featuring Parson James,20,pop,2015
Powerful,Major Lazer Featuring Ellie Goulding & Tarrus Riley,21,pop,2015
The Nights,Avicii,22,pop,2015
Firestone,Kygo Featuring Conrad,23,pop,2015
Runaway (U & I),Galantis,24,pop,2015
Roses,The Chainsmokers Featuring Rozes,25,pop,2015
Waiting For Love,Avicii,26,pop,2015
Don't Look Down,Martin Garrix Featuring Usher,27,pop,2015
Get Low,Dillon Francis & DJ Snake,28,pop,2015
B**** I'm Madonna,Madonna Featuring Nicki Minaj,29,pop,2015
I'm An Albatraoz,AronChupa,30,pop,2015
King,Years & Years,31,pop,2015
SummerThing!,Afrojack Featuring Mike Taylor,32,pop,2015
Ain't Nobody (Loves Me Better),Felix Jaehn Featuring Jasmine Thompson,33,pop,2015
Pray To God,Calvin Harris Featuring HAIM,34,pop,2015
Summer,Calvin Harris,35,pop,2015
Sugar,Robin Schulz Featuring Francesco Yates,36,pop,2015
Something Better,Audien Featuring Lady Antebellum,37,pop,2015
Cool,Alesso Featuring Roy English,38,pop,2015
Peanut Butter Jelly,Galantis,39,pop,2015
Secrets,Tiesto & KSHMR Featuring Vassy,40,pop,2015
Dessert,Dawin,41,pop,2015
Tonight Belongs To U!,Jeremih Featuring Flo Rida,42,pop,2015
Living For Love,Madonna,43,pop,2015
Show Me Love,Sam Feldt Featuring Kimberly Anne,44,pop,2015
Headlights,Robin Schulz Featuring Ilsey,45,pop,2015
Open Wide,Calvin Harris Featuring Big Sean,46,pop,2015
Something New,Axwell & Ingrosso,47,pop,2015
Magnets,Disclosure Featuring Lorde,48,pop,2015
Are You With Me,Lost Frequencies,49,pop,2015
Another You,Armin van Buuren Featuring Mr. Probz,50,pop,2015
Holding On,Disclosure Featuring Gregory Porter,51,pop,2015
Turn Down For What,DJ Snake & Lil Jon,52,pop,2015
Take U There,Skrillex & Diplo Featuring Kiesza,53,pop,2015
Sun Is Shining,Axwell & Ingrosso,54,pop,2015
I Love It When You Cry (Moxoki),Steve Aoki & Moxie Raia,55,pop,2015
The Days,Avicii,56,pop,2015
Easy Love,Sigala.,57,pop,2015
Intoxicated,Martin Solveig & GTA,58,pop,2015
Coming Over,Dillon Francis & Kygo Featuring James Hersey,59,pop,2015
Here For You,Kygo Featuring Ella Henderson,60,pop,2015
Burial,"Yogi, Skrillex, Pusha T, Moody Good & Trollphace",61,pop,2015
Be Together,Major Lazer Featuring Wild Belle,62,pop,2015
To U,Skrillex & Diplo Featuring AlunaGeorge,63,pop,2015
Divine Sorrow,Wyclef Featuring Avicii,64,pop,2015
Real Love,Clean Bandit & Jess Glynne,65,pop,2015
All My Love,Major Lazer Featuring Ariana Grande & Michel Montano,66,pop,2015
Say My Name,ODESZA Featuring Zyra,67,pop,2015
All We Need,ODESZA Featuring Shy Girls,68,pop,2015
It's Me,TryHardNinja,69,pop,2015
For A Better Day,Avicii,70,pop,2015
Let You Go,The Chainsmokers Featuring Great Good Fine OK,71,pop,2015
Ocean Drive,Duke Dumont,72,pop,2015
On My Way,Axwell & Ingrosso,73,pop,2015
Blind Heart,Cazzette Featuring Terri B!,74,pop,2015
Old Thing Back,Matoma & The Notorious B.I.G. Featuring Ja Rule & Ralph Tresvant,75,pop,2015
Be Right There,Diplo & Sleepy Tom,76,pop,2015
Surrender,Cash Cash,77,pop,2015
Out The Speakers,A-Trak + Milo & Otis Featuring Rich Kidz,78,pop,2015
Kanye,The Chainsmokers Featuring Siren,79,pop,2015
Sun Goes Down,Robin Schulz Featuring Jasmine Thompson,80,pop,2015
Disarm You,Kaskade Featuring Ilsey,81,pop,2015
Broken Arrows,Avicii,82,pop,2015
Faded,ZHU,83,pop,2015
Never Sleep Alone,Kaskade,84,pop,2015
Till It Hurts,Yellow Claw Featuring Ayden,85,pop,2015
You're On,Madeon Featuring Kyan,86,pop,2015
Devil,"Cash Cash Featuring Busta Rhymes, B.o.B & Neon Hitch",87,pop,2015
Nothing Really Matters,Mr. Probz,88,pop,2015
Deja Vu,Giorgio Moroder Featuring Sia,89,pop,2015
Go All Night,Gorgon City Featuring Jennifer Hudson,90,pop,2015
Sweet Escape,Alesso Featuring Sirena,91,pop,2015
Bend Ova,Lil Jon Featuring Tyga,92,pop,2015
You Know You Like It,AlunaGeorge,93,pop,2015
Addicted To A Memory,Zedd Featuring Bahari,94,pop,2015
Virus (How About Now),Martin Garrix & MOTi,95,pop,2015
Together,Cazzette Featuring Netwimers,96,pop,2015
Untouchable,Tritonal & Cash Cash,97,pop,2015
Middle,DJ Snake Featuring Bipolar Sunshine,98,pop,2015
Ghost,Mystery Skulls,99,pop,2015
Insomnia,Audien Featuring Parson James,100,pop,2015
Don't Let Me Down,The Chainsmokers Featuring Daya,1,pop,2016
Closer,The Chainsmokers Featuring Halsey,2,pop,2016
This Is What You Came For,Calvin Harris Featuring Rihanna,3,pop,2016
Cold Water,Major Lazer Featuring Justin Bieber & MO,4,pop,2016
Roses,The Chainsmokers Featuring Rozes,5,pop,2016
Never Forget You,Zara Larsson & MNEK,6,pop,2016
Let Me Love You,DJ Snake Featuring Justin Bieber,7,pop,2016
Never Be Like You,Flume Featuring Kai,8,pop,2016
Middle,DJ Snake Featuring Bipolar Sunshine,9,pop,2016
Lean On,Major Lazer & DJ Snake Featuring MO,10,pop,2016
This Girl,Kungs vs Cookin' On 3 Burners,11,pop,2016
Sugar,Robin Schulz Featuring Francesco Yates,12,pop,2016
Light It Up,Major Lazer Featuring Nyla & Fuse ODG,13,pop,2016
Where Are U Now,Skrillex & Diplo With Justin Bieber,14,pop,2016
In The Name Of Love,Martin Garrix & Bebe Rexha,15,pop,2016
Faded,Alan Walker,16,pop,2016
How Deep Is Your Love,Calvin Harris & Disciples,17,pop,2016
Fast Car,Jonas Blue Featuring Dakota,18,pop,2016
My Way,Calvin Harris,19,pop,2016
Purple Lamborghini,Skrillex & Rick Ross,20,pop,2016
No Money,Galantis,21,pop,2016
Dessert,Dawin,22,pop,2016
Stay,Kygo Featuring Maty Noyes,23,pop,2016
Bang My Head,David Guetta Featuring Sia & Fetty Wap,24,pop,2016
The Ocean,Mike Perry Featuring Shy Martin,25,pop,2016
Alone,Marshmello,26,pop,2016
