title,artist,rank,genre,year
S.O.B.,Nathaniel Rateliff & The Night Sweats,38,pop,2016
Cleopatra,The Lumineers,39,pop,2016
Wow,Beck,40,pop,2016
Somebody Else,The 1975,41,pop,2016
Bang Bang,Green Day,42,pop,2016
Mess Around,Cage The Elephant,43,pop,2016
All We Ever Knew,The Head And The Heart,44,pop,2016
Bohemian Rhapsody,Panic! At The Disco,45,pop,2016
State Of My Head,Shinedown,46,pop,2016
The Devil's Bleeding Crown,Volbeat,47,pop,2016
Mountain At My Gates,Foals,48,pop,2016
Electric Love,BORNS,49,pop,2016
Waste A Moment,Kings Of Leon,50,pop,2016
You Don't Get Me High Anymore,Phantogram,51,pop,2016
Trip Switch,Nothing But Thieves,52,pop,2016
Cancer,twenty one pilots,53,pop,2016
Kiss This,The Struts,54,pop,2016
Fire And The Flood,Vance Joy,55,pop,2016
Wash It All Away,Five Finger Death Punch,56,pop,2016
LA Devotee,Panic! At The Disco,57,pop,2016
The Light,Disturbed,58,pop,2016
Hotel California,Eagles,59,pop,2016
Something To Believe In,Young The Giant,60,pop,2016
So Alive,Goo Goo Dolls,61,pop,2016
Under Pressure,Queen & David Bowie,62,pop,2016
Woman Woman,AWOLNATION,63,pop,2016
Life Itself,Glass Animals,64,pop,2016
Hardwired,Metallica,65,pop,2016
Space Oddity,David Bowie,66,pop,2016
Happiness,NEEDTOBREATHE,67,pop,2016
Lazarus,David Bowie,68,pop,2016
Welcome To Your Life,Grouplove,69,pop,2016
Happy Song,Bring Me The Horizon,70,pop,2016
Asking For It,Shinedown,71,pop,2016
Chain Breaker,Zach Williams,72,pop,2016
I Apologize,Five Finger Death Punch,73,pop,2016
The Less I Know The Better,Tame Impala,74,pop,2016
Up&Up,Coldplay,75,pop,2016
Sound & Color,Alabama Shakes,76,pop,2016
Start A Riot,Banners,77,pop,2016
Gone,JR JR,78,pop,2016
Goner,twenty one pilots,79,pop,2016
Viva La Vida,Coldplay,80,pop,2016
Take Me Down,The Pretty Reckless,81,pop,2016
Take It From Me,KONGOS,82,pop,2016
Take It All Back,Judah & The Lion,83,pop,2016
Rotting In Vain,Korn,84,pop,2016
We Don't Believe What's On TV,twenty one pilots,85,pop,2016
Thank God For Girls,Weezer,86,pop,2016
2 Heads,Coleman Hell,87,pop,2016
Everglow,Coldplay,88,pop,2016
Message Man,twenty one pilots,89,pop,2016
Love Me,The 1975,90,pop,2016
Burn The Witch,Radiohead,91,pop,2016
She's Out Of Her Mind,Blink-182,92,pop,2016
Nearly Forgot My Broken Heart,Chris Cornell,93,pop,2016
Roots,Imagine Dragons,94,pop,2016
Throne,Bring Me The Horizon,95,pop,2016
Saint Cecilia,Foo Fighters,96,pop,2016
The Ghosts Of Beverly Drive,Death Cab For Cutie,97,pop,2016
UGH!,The 1975,98,pop,2016
Let's Dance,David Bowie,99,pop,2016
The Sound Of Silence,Simon & Garfunkel,100,pop,2016
Believer,Imagine Dragons,1,pop,2017
Heathens,twenty one pilots,2,pop,2017
Feel It Still,Portugal. The Man,3,pop,2017
Thunder,Imagine Dragons,4,pop,2017
Heavy,Linkin Park Featuring Kiiara,5,pop,2017
Ride,twenty one pilots,6,pop,2017
Wish I Knew You,The Revivalists,7,pop,2017
Sucker For Pain,"Lil Wayne, Wiz Khalifa & Imagine Dragons With Logic & Ty Dolla $ign Feat. X Ambassadors",8,pop,2017
Unsteady,X Ambassadors,9,pop,2017
HandClap,Fitz And The Tantrums,10,pop,2017
Human,Rag'n'Bone Man,11,pop,2017
The Night We Met,Lord Huron,12,pop,2017
Way Down We Go,KALEO,13,pop,2017
Angela,The Lumineers,14,pop,2017
Take It All Back,Judah & The Lion,15,pop,2017
Whatever It Takes,Imagine Dragons,16,pop,2017
Hard Times,Paramore,17,pop,2017
The Man,The Killers,18,pop,2017
Old Church Choir,Zach Williams,19,pop,2017
Love,Lana Del Rey,20,pop,2017
Lust For Life,Lana Del Rey Featuring The Weeknd,21,pop,2017
Heavydirtysoul,twenty one pilots,22,pop,2017
Love On The Weekend,John Mayer,23,pop,2017
Ophelia,The Lumineers,24,pop,2017
Chain Breaker,Zach Williams,25,pop,2017
One More Light,Linkin Park,26,pop,2017
