title,artist,rank,genre,year
Run Away With You,Big & Rich,81,pop,2015
Somewhere In My Car,Keith Urban,82,pop,2015
We Went,Randy Houser,83,pop,2015
Burnin' It Down,Jason Aldean,84,pop,2015
Leave The Night On,Sam Hunt,85,pop,2015
Close Your Eyes,Parmalee,86,pop,2015
Lay Low,Josh Turner,87,pop,2015
Neon Light,Blake Shelton,88,pop,2015
Tennessee Whiskey,Chris Stapleton,89,pop,2015
Biscuits,Kacey Musgraves,90,pop,2015
Riser,Dierks Bentley,91,pop,2015
That Don't Sound Like You,Lee Brice,92,pop,2015
Freestyle,Lady Antebellum,93,pop,2015
Trailer Hitch,Kristian Bush,94,pop,2015
Dirt,Florida Georgia Line,95,pop,2015
Hard To Be Cool,Joe Nichols,96,pop,2015
Trouble,Gloriana,97,pop,2015
Ride,Chase Rice,98,pop,2015
Country Nation,Brad Paisley,99,pop,2015
Kiss You Tonight,David Nail,100,pop,2015
H.O.L.Y.,Florida Georgia Line,1,pop,2016
Die A Happy Man,Thomas Rhett,2,pop,2016
Humble And Kind,Tim McGraw,3,pop,2016
Somewhere On A Beach,Dierks Bentley,4,pop,2016
Head Over Boots,Jon Pardi,5,pop,2016
You Should Be Here,Cole Swindell,6,pop,2016
Break Up In A Small Town,Sam Hunt,7,pop,2016
My Church,Maren Morris,8,pop,2016
Came Here To Forget,Blake Shelton,9,pop,2016
Peter Pan,Kelsea Ballerini,10,pop,2016
"Huntin', Fishin' And Lovin' Every Day",Luke Bryan,11,pop,2016
From The Ground Up,Dan + Shay,12,pop,2016
Lights Come On,Jason Aldean,13,pop,2016
Church Bells,Carrie Underwood,14,pop,2016
Different For Girls,Dierks Bentley Featuring Elle King,15,pop,2016
T-Shirt,Thomas Rhett,16,pop,2016
Record Year,Eric Church,17,pop,2016
Snapback,Old Dominion,18,pop,2016
Think Of You,Chris Young Duet With Cassadee Pope,19,pop,2016
Setting The World On Fire,Kenny Chesney Featuring P!nk,20,pop,2016
Home Alone Tonight,Luke Bryan Featuring Karen Fairchild,21,pop,2016
American Country Love Song,Jake Owen,22,pop,2016
Middle Of A Memory,Cole Swindell,23,pop,2016
Drunk On Your Love,Brett Eldredge,24,pop,2016
Wasted Time,Keith Urban,25,pop,2016
Make You Miss Me,Sam Hunt,26,pop,2016
Confession,Florida Georgia Line,27,pop,2016
Fix,Chris Lane,28,pop,2016
Heartbeat,Carrie Underwood,29,pop,2016
Vice,Miranda Lambert,30,pop,2016
It Don't Hurt Like It Used To,Billy Currington,31,pop,2016
Mind Reader,Dustin Lynch,32,pop,2016
I Like The Sound Of That,Rascal Flatts,33,pop,2016
Sleep Without You,Brett Young,34,pop,2016
You Look Like I Need A Drink,Justin Moore,35,pop,2016
Nobody To Blame,Chris Stapleton,36,pop,2016
Beautiful Drug,Zac Brown Band,37,pop,2016
Backroad Song,Granger Smith,38,pop,2016
Blue Ain't Your Color,Keith Urban,39,pop,2016
She's Got A Way With Words,Blake Shelton,40,pop,2016
May We All,Florida Georgia Line Featuring Tim McGraw,41,pop,2016
Rock On,Tucker Beathard,42,pop,2016
I Know Somebody,LOCASH,43,pop,2016
Move,Luke Bryan,44,pop,2016
I Met A Girl,William Michael Morgan,45,pop,2016
Noise,Kenny Chesney,46,pop,2016
Night's On Fire,David Nail,47,pop,2016
Break On Me.,Keith Urban,48,pop,2016
A Little More Summertime,Jason Aldean,49,pop,2016
That Don't Sound Like You,Lee Brice,50,pop,2016
Song For Another Time,Old Dominion,51,pop,2016
Stay A Little Longer,Brothers Osborne,52,pop,2016
Burning House,Cam,53,pop,2016
Little Bit Of You,Chase Bryant,54,pop,2016
Wanna Be That Song,Brett Eldredge,55,pop,2016
It All Started With A Beer,Frankie Ballard,56,pop,2016
We Went,Randy Houser,57,pop,2016
Dibs,Kelsea Ballerini,58,pop,2016
I'm Comin' Over,Chris Young,59,pop,2016
80s Mercedes,Maren Morris,60,pop,2016
Castaway,Zac Brown Band,61,pop,2016
Parachute,Chris Stapleton,62,pop,2016
Tennessee Whiskey,Chris Stapleton,63,pop,2016
Gonna Know We Were Here,Jason Aldean,64,pop,2016
Livin' The Dream,Drake White,65,pop,2016
21 Summer,Brothers Osborne,66,pop,2016
I Got The Boy,Jana Kramer,67,pop,2016
Running For You,Kip Moore,68,pop,2016
I Love This Life,LOCASH,69,pop,2016
Gonna,Blake Shelton,70,pop,2016
Lovin' Lately,Big & Rich Featuring Tim McGraw,71,pop,2016
Vacation,Thomas Rhett,72,pop,2016
Mr. Misunderstood,Eric Church,73,pop,2016
How I'll Always Be,Tim McGraw,74,pop,2016
Forever Country,"Artists Of Then, Now & Forever",75,pop,2016
Unlove You,Jennifer Nettles,76,pop,2016
Stone Cold Sober,Brantley Gilbert,77,pop,2016
Without A Fight,Brad Paisley Featuring Demi Lovato,78,pop,2016
Strip It Down,Luke Bryan,79,pop,2016
Country Nation,Brad Paisley,80,pop,2016
Top Of The World,Tim McGraw,81,pop,2016
Thy Will,Hillary Scott & The Scott Family,82,pop,2016
Smoke Break,Carrie Underwood,83,pop,2016
Dirty Laundry,Carrie Underwood,84,pop,2016
Better In Boots,Tyler Farr,85,pop,2016
Seein' Red,Dustin Lynch,86,pop,2016
Sober Saturday Night,Chris Young Featuring Vince Gill,87,pop,2016
Fire Away,Chris Stapleton,88,pop,2016
If The Boot Fits,Granger Smith,89,pop,2016
Real Men Love Jesus,Michael Ray,90,pop,2016
Shut Up And Fish,Maddie & Tae,91,pop,2016
Hole In A Bottle,Canaan Smith,92,pop,2016
Make You Mine,High Valley,93,pop,2016
Nothin' Like You,Dan + Shay,94,pop,2016
Used To Love You Sober,Kane Brown,95,pop,2016
The Weekend,Brantley Gilbert,96,pop,2016
Mayday,Cam,97,pop,2016
Road Less Traveled,Lauren Alaina,98,pop,2016
Star Of The Show,Thomas Rhett,99,pop,2016
Kill A Word,Eric Church Featuring Rhiannon Giddens,100,pop,2016
Body Like A Back Road,Sam Hunt,1,pop,2017
In Case You Didn't Know,Brett Young,2,pop,2017
Hurricane,Luke Combs,3,pop,2017
What Ifs,Kane Brown Featuring Lauren Alaina,4,pop,2017
Small Town Boy,Dustin Lynch,5,pop,2017
Dirt On My Boots,Jon Pardi,6,pop,2017
The Fighter,Keith Urban Featuring Carrie Underwood,7,pop,2017
Craving You,Thomas Rhett Featuring Maren Morris,8,pop,2017
You Look Good,Lady Antebellum,9,pop,2017
Better Man,Little Big Town,10,pop,2017
When It Rains It Pours,Luke Combs,11,pop,2017
My Girl,Dylan Scott,12,pop,2017
Blue Ain't Your Color,Keith Urban,13,pop,2017
"God, Your Mama, And Me",Florida Georgia Line Featuring Backstreet Boys,14,pop,2017
Drinkin' Problem,Midland,15,pop,2017
Heartache On The Dance Floor,Jon Pardi,16,pop,2017
No Such Thing As A Broken Heart,Old Dominion,17,pop,2017
Black,Dierks Bentley,18,pop,2017
Every Little Thing,Carly Pearce,19,pop,2017
Any Ol' Barstool,Jason Aldean,20,pop,2017
Flatliner,Cole Swindell,21,pop,2017
Unforgettable,Thomas Rhett,22,pop,2017
It Ain't My Fault,Brothers Osborne,23,pop,2017
Greatest Love Story,LANCO,24,pop,2017
I Could Use A Love Song,Maren Morris,25,pop,2017
How Not To,Dan + Shay,26,pop,2017
Every Time I Hear That Song,Blake Shelton,27,pop,2017
More Girls Like You,Kip Moore,28,pop,2017
A Guy With A Girl,Blake Shelton,29,pop,2017
For Her,Chris Lane,30,pop,2017
Somebody Else Will,Justin Moore,31,pop,2017
If I Told You,Darius Rucker,32,pop,2017
Yours If You Want It,Rascal Flatts,33,pop,2017
Yeah Boy,Kelsea Ballerini,34,pop,2017
Fast,Luke Bryan,35,pop,2017
Star Of The Show,Thomas Rhett,36,pop,2017
The Weekend,Brantley Gilbert,37,pop,2017
Hometown Girl,Josh Turner,38,pop,2017
All The Pretty Girls,Kenny Chesney,39,pop,2017
They Don't Know,Jason Aldean,40,pop,2017
Do I Make You Wanna,Billy Currington,41,pop,2017
Think A Little Less,Michael Ray,42,pop,2017
