title,artist,rank,genre,year
When I Pray For You,Dan + Shay,42,Christian,2017
Feel Invincible,Skillet,43,Christian,2017
Great Are You Lord,one sonic society,44,Christian,2017
Your Love Defends Me,Matt Maher,45,Christian,2017
Clean,Natalie Grant,46,Christian,2017
The Lion And The Lamb,Big Daddy Weave,47,Christian,2017
All That Matters,Colton Dixon,48,Christian,2017
Throne Room,Kim Walker-Smith,49,Christian,2017
Jesus,Chris Tomlin,50,Christian,2017
Giants Fall,Francesca Battistelli,51,Christian,2017
Lions,Skillet,52,Christian,2017
Hammer Time,Lecrae Featuring 1K Phew,53,Christian,2017
Only King Forever,7eventh Time Down,54,Christian,2017
Priceless,for KING & COUNTRY,55,Christian,2017
So Will I (100 Billion X),Hillsong UNITED,56,Christian,2017
God Help Me,Plumb,57,Christian,2017
Still,Hillary Scott & The Scott Family,58,Christian,2017
The Cross Has The Final Word,newsboys Featuring With Peter Furler,59,Christian,2017
In Awe,Hollyn,60,Christian,2017
Let You Down,NF,61,Christian,2017
Do It Again,Elevation Worship,62,Christian,2017
One Step Away,Casting Crowns,63,Christian,2017
Keep Your Eyes On Me,Tim McGraw & Faith Hill,64,Christian,2017
Can't Live Without,Hollyn,65,Christian,2017
Glorious Day,Passion Featuring Kristian Stanfill,66,Christian,2017
Rescuer (Good News),Rend Collective,67,Christian,2017
Bleed The Same,Mandisa Featuring tobyMac,68,Christian,2017
Mended,Matthew West,69,Christian,2017
There Is A Cloud,Elevation Worship,70,Christian,2017
Eye Of The Storm,Ryan Stevenson Featuring GabeReal,71,Christian,2017
All My Hope,Crowder Featuring Tauren Wells,72,Christian,2017
Control (Somehow You Want Me),Tenth Avenue North,73,Christian,2017
Be The Change.,Britt Nicole,74,Christian,2017
Green Lights,NF,75,Christian,2017
Revival,Third Day,76,Christian,2017
Tell Me,Carrollton,77,Christian,2017
Jesus I Believe,Big Daddy Weave,78,Christian,2017
Spirit Of The Living God,Meredith Andrews,79,Christian,2017
Warm Up,NF,80,Christian,2017
Battles,The Afters,81,Christian,2017
Me And Jesus,Sundance Head,82,Christian,2017
Stars,Skillet,83,Christian,2017
Through Your Eyes,Britt Nicole,84,Christian,2017
Outro,NF,85,Christian,2017
King Of My Heart,"Bethel Music, Steffany Gretzinger & Jeremy Riddle",86,Christian,2017
My Victory,Crowder,87,Christian,2017
Find You Here,Ellie Holcomb,88,Christian,2017
Jesus I Need You,Hillsong Worship,89,Christian,2017
Fullness,Elevation Worship,90,Christian,2017
Falling Into You,Hillsong Young & Free,91,Christian,2017
Love Won't Let Me Down,Hillsong Young & Free,92,Christian,2017
Love Is On Our Side,Capital Kings,93,Christian,2017
Grindin',NF Featuring Marty,94,Christian,2017
Broke,Lecrae,95,Christian,2017
My All In All,Phil Wickham,96,Christian,2017
Open Hands,Laura Story Featuring Mac Powell,97,Christian,2017
Watchu Mean,Lecrae Featuring Aha Gazelle,98,Christian,2017
Hallelujah,Lindsey Stirling,99,Christian,2017
Tremble,Mosaic MSC,100,Christian,2017
Reckless Love,Cory Asbury,1,Christian,2018
You Say,Lauren Daigle,2,Christian,2018
I Just Need U.,tobyMac,3,Christian,2018
Who You Say I Am,Hillsong Worship,4,Christian,2018
joy.,for KING & COUNTRY,5,Christian,2018
Grace Got You,MercyMe,6,Christian,2018
Fear Is A Liar,Zach Williams,7,Christian,2018
So Will I (100 Billion X),Hillsong UNITED,8,Christian,2018
I Can Only Imagine,MercyMe,9,Christian,2018
What A Beautiful Name,Hillsong Worship,10,Christian,2018
Do It Again,Elevation Worship,11,Christian,2018
All My Hope,Crowder Featuring Tauren Wells,12,Christian,2018
